 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
| 18.5/(FRExt)| 22-Ma | 13:48 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   15 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 43.502| 46.627| 47.500| 43.502| 46.627| 47.500|1504544|      0|      0|  1504896|           1709   |              0   |
| 18.5/(FRExt)| 22-Ma | 13:48 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   15 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 43.502| 46.627| 47.500| 43.502| 46.627| 47.500|1504544|      0|      0|  1504896|           1647   |              0   |
| 18.5/(FRExt)| 22-Ma | 13:52 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   15 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 43.502| 46.627| 47.500| 43.502| 46.627| 47.500|1504544|      0|      0|  1504896|           1647   |              0   |
| 18.5/(FRExt)| 22-Ma | 14:02 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   15 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 43.502| 46.627| 47.500| 43.502| 46.627| 47.500|1504544|      0|      0|  1504896|           1661   |              0   |
| 18.5/(FRExt)| 22-Ma | 14:04 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   15 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 43.502| 46.627| 47.500| 43.502| 46.627| 47.500|1504544|      0|      0|  1504896|           1652   |              0   |
| 18.5/(FRExt)| 22-Ma | 14:06 |e/kai/git_repos/obme/b/../bowing_cif.yuv|    2 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.75| CABAC|   1  |   OFF   |  0  | 43.463| 46.653| 47.608| 43.463| 46.653| 47.608| 187440|      0|      0|   187770|            219   |              0   |
| 18.5/(FRExt)| 22-Ma | 14:06 |e/kai/git_repos/obme/b/../bowing_cif.yuv|    2 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.75| CABAC|   1  |   OFF   |  0  | 43.463| 46.653| 47.608| 43.463| 46.653| 47.608| 187440|      0|      0|   187770|            219   |              0   |
| 18.5/(FRExt)| 22-Ma | 15:58 |e/kai/git_repos/obme/b/../bowing_cif.yuv|    2 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.75| CABAC|   1  |   OFF   |  0  | 43.463| 46.653| 47.608| 43.463| 46.653| 47.608| 187440|      0|      0|   187770|            220   |              0   |
| 18.5/(FRExt)| 22-Ma | 16:08 |e/kai/git_repos/obme/b/../bowing_cif.yuv|    2 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.75| CABAC|   1  |   OFF   |  0  | 43.463| 46.653| 47.608| 43.463| 46.653| 47.608| 187440|      0|      0|   187770|            226   |              0   |
| 18.5/(FRExt)| 22-Ma | 17:02 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1145   |              0   |
